USD LIBOR,Overnight rate
Date,rf
2/21/02,1.83125
2/22/02,1.78516
2/25/02,1.825
2/26/02,1.83031
2/27/02,1.83781
2/28/02,1.93594
3/1/02,1.84172
3/4/02,1.83125
3/5/02,1.82875
3/6/02,1.80125
3/7/02,1.81156
3/8/02,1.7725
3/11/02,1.82375
3/12/02,1.82
3/13/02,1.8075
3/14/02,1.81
3/15/02,1.9
3/18/02,1.82625
3/19/02,1.8075
3/20/02,1.81
3/21/02,1.81625
3/22/02,1.78875
3/25/02,1.82125
3/26/02,1.82
3/27/02,1.815
3/28/02,2.0075
3/29/02,.
4/1/02,.
4/2/02,1.855
4/3/02,1.84875
4/4/02,1.83625
4/5/02,1.79375
4/8/02,1.8275
4/9/02,1.80625
4/10/02,1.775
4/11/02,1.7975
4/12/02,1.8225
4/15/02,1.95
4/16/02,1.83375
4/17/02,1.82
4/18/02,1.81125
4/19/02,1.77188
4/22/02,1.81625
4/23/02,1.775
4/24/02,1.765
4/25/02,1.8025
4/26/02,1.81375
4/29/02,1.86125
4/30/02,1.93538
5/1/02,1.9025
5/2/02,1.8375
5/3/02,1.795
5/6/02,.
5/7/02,1.80625
5/8/02,1.80375
5/9/02,1.79375
5/10/02,1.77875
5/13/02,1.82625
5/14/02,1.83125
5/15/02,1.9275
5/16/02,1.82875
5/17/02,1.77125
5/20/02,1.81125
5/21/02,1.78375
5/22/02,1.75
5/23/02,1.76375
5/24/02,1.755
5/27/02,.
5/28/02,1.8525
5/29/02,1.88625
5/30/02,1.8825
5/31/02,1.88125
6/3/02,.
6/4/02,.
6/5/02,1.8025
6/6/02,1.77875
6/7/02,1.76625
6/10/02,1.8
6/11/02,1.8025
6/12/02,1.80875
6/13/02,1.81
6/14/02,1.78
6/17/02,1.88125
6/18/02,1.80875
6/19/02,1.77063
6/20/02,1.75625
6/21/02,1.74125
6/24/02,1.7975
6/25/02,1.8025
6/26/02,1.8275
6/27/02,1.825
6/28/02,2.03125
7/1/02,1.91625
7/2/02,1.81625
7/3/02,1.79625
7/4/02,.
7/5/02,1.78125
7/8/02,1.82
7/9/02,1.82125
7/10/02,1.83
7/11/02,1.82
7/12/02,1.7775
7/15/02,1.87625
7/16/02,1.81375
7/17/02,1.80375
7/18/02,1.7775
7/19/02,1.76625
7/22/02,1.80625
7/23/02,1.8075
7/24/02,1.81
7/25/02,1.79875
7/26/02,1.77125
7/29/02,1.8
7/30/02,1.8125
7/31/02,1.905
8/1/02,1.855
8/2/02,1.7825
8/5/02,1.8125
8/6/02,1.835
8/7/02,1.86
8/8/02,1.825
8/9/02,1.76125
8/12/02,1.7975
8/13/02,1.79375
8/14/02,1.79125
8/15/02,1.875
8/16/02,1.78
8/19/02,1.80438
8/20/02,1.8125
8/21/02,1.80625
8/22/02,1.80625
8/23/02,1.78625
8/26/02,.
8/27/02,1.80625
8/28/02,1.83375
8/29/02,1.9025
8/30/02,1.95
9/2/02,.
9/3/02,1.92
9/4/02,1.845
9/5/02,1.82375
9/6/02,1.78
9/9/02,1.815
9/10/02,1.815
9/11/02,1.82
9/12/02,1.8225
9/13/02,1.7775
9/16/02,1.8975
9/17/02,1.81875
9/18/02,1.80375
9/19/02,1.7975
9/20/02,1.75
9/23/02,1.80125
9/24/02,1.79
9/25/02,1.78875
9/26/02,1.80375
9/27/02,1.855
9/30/02,2.065
10/1/02,1.93875
10/2/02,1.83625
10/3/02,1.81625
10/4/02,1.7675
10/7/02,1.80625
10/8/02,1.805
10/9/02,1.79875
10/10/02,1.79625
10/11/02,1.78
10/14/02,.
10/15/02,1.89375
10/16/02,1.8225
10/17/02,1.80125
10/18/02,1.775
10/21/02,1.80125
10/22/02,1.79875
